0,0,1.0
0,1,14.96
0,2,41.76
0,3,1024.07
0,4,73.17
1,0,1.0
1,1,25.18
1,2,62.96
1,3,1020.04
1,4,59.08
2,0,1.0
2,1,5.11
2,2,39.4
2,3,1012.16
2,4,92.14
3,0,1.0
3,1,20.86
3,2,57.32
3,3,1010.24
3,4,76.64
4,0,1.0
4,1,10.82
4,2,37.5
4,3,1009.23
4,4,96.62
5,0,1.0
5,1,26.27
5,2,59.44
5,3,1012.23
5,4,58.77
6,0,1.0
6,1,15.89
6,2,43.96
6,3,1014.02
6,4,75.24
7,0,1.0
7,1,9.48
7,2,44.71
7,3,1019.12
7,4,66.43
8,0,1.0
8,1,14.64
8,2,45.0
8,3,1021.78
8,4,41.25
9,0,1.0
9,1,11.74
9,2,43.56
9,3,1015.14
9,4,70.72
10,0,1.0
10,1,17.99
10,2,43.72
10,3,1008.64
10,4,75.04
11,0,1.0
11,1,20.14
11,2,46.93
11,3,1014.66
11,4,64.22
12,0,1.0
12,1,24.34
12,2,73.5
12,3,1011.31
12,4,84.15
13,0,1.0
13,1,25.71
13,2,58.59
13,3,1012.77
13,4,61.83
14,0,1.0
14,1,26.19
14,2,69.34
14,3,1009.48
14,4,87.59
15,0,1.0
15,1,21.42
15,2,43.79
15,3,1015.76
15,4,43.08
16,0,1.0
16,1,18.21
16,2,45.0
16,3,1022.86
16,4,48.84
17,0,1.0
17,1,11.04
17,2,41.74
17,3,1022.6
17,4,77.51
18,0,1.0
18,1,14.45
18,2,52.75
18,3,1023.97
18,4,63.59
19,0,1.0
19,1,13.97
19,2,38.47
19,3,1015.15
19,4,55.28
20,0,1.0
20,1,17.76
20,2,42.42
20,3,1009.09
20,4,66.26
21,0,1.0
21,1,5.41
21,2,40.07
21,3,1019.16
21,4,64.77
22,0,1.0
22,1,7.76
22,2,42.28
22,3,1008.52
22,4,83.31
23,0,1.0
23,1,27.23
23,2,63.9
23,3,1014.3
23,4,47.19
24,0,1.0
24,1,27.36
24,2,48.6
24,3,1003.18
24,4,54.93
25,0,1.0
25,1,27.47
25,2,70.72
25,3,1009.97
25,4,74.62
26,0,1.0
26,1,14.6
26,2,39.31
26,3,1011.11
26,4,72.52
27,0,1.0
27,1,7.91
27,2,39.96
27,3,1023.57
27,4,88.44
28,0,1.0
28,1,5.81
28,2,35.79
28,3,1012.14
28,4,92.28
29,0,1.0
29,1,30.53
29,2,65.18
29,3,1012.69
29,4,41.85
30,0,1.0
30,1,23.87
30,2,63.94
30,3,1019.02
30,4,44.28
31,0,1.0
31,1,26.09
31,2,58.41
31,3,1013.64
31,4,64.58
32,0,1.0
32,1,29.27
32,2,66.85
32,3,1011.11
32,4,63.25
33,0,1.0
33,1,27.38
33,2,74.16
33,3,1010.08
33,4,78.61
34,0,1.0
34,1,24.81
34,2,63.94
34,3,1018.76
34,4,44.51
35,0,1.0
35,1,12.75
35,2,44.03
35,3,1007.29
35,4,89.46
36,0,1.0
36,1,24.66
36,2,63.73
36,3,1011.4
36,4,74.52
37,0,1.0
37,1,16.38
37,2,47.45
37,3,1010.08
37,4,88.86
38,0,1.0
38,1,13.91
38,2,39.35
38,3,1014.69
38,4,75.51
39,0,1.0
39,1,23.18
39,2,51.3
39,3,1012.04
39,4,78.64
40,0,1.0
40,1,22.47
40,2,47.45
40,3,1007.62
40,4,76.65
41,0,1.0
41,1,13.39
41,2,44.85
41,3,1017.24
41,4,80.44
42,0,1.0
42,1,9.28
42,2,41.54
42,3,1018.33
42,4,79.89
43,0,1.0
43,1,11.82
43,2,42.86
43,3,1014.12
43,4,88.28
44,0,1.0
44,1,10.27
44,2,40.64
44,3,1020.63
44,4,84.6
45,0,1.0
45,1,22.92
45,2,63.94
45,3,1019.28
45,4,42.69
46,0,1.0
46,1,16.0
46,2,37.87
46,3,1020.24
46,4,78.41
47,0,1.0
47,1,21.22
47,2,43.43
47,3,1010.96
47,4,61.07
48,0,1.0
48,1,13.46
48,2,44.71
48,3,1014.51
48,4,50.0
49,0,1.0
49,1,9.39
49,2,40.11
49,3,1029.14
49,4,77.29
50,0,1.0
50,1,31.07
50,2,73.5
50,3,1010.58
50,4,43.66
51,0,1.0
51,1,12.82
51,2,38.62
51,3,1018.71
51,4,83.8
52,0,1.0
52,1,32.57
52,2,78.92
52,3,1011.6
52,4,66.47
53,0,1.0
53,1,8.11
53,2,42.18
53,3,1014.82
53,4,93.09
54,0,1.0
54,1,13.92
54,2,39.39
54,3,1012.94
54,4,80.52
55,0,1.0
55,1,23.04
55,2,59.43
55,3,1010.23
55,4,68.99
56,0,1.0
56,1,27.31
56,2,64.44
56,3,1014.65
56,4,57.27
57,0,1.0
57,1,5.91
57,2,39.33
57,3,1010.18
57,4,95.53
58,0,1.0
58,1,25.26
58,2,61.08
58,3,1013.68
58,4,71.72
59,0,1.0
59,1,27.97
59,2,58.84
59,3,1002.25
59,4,57.88
60,0,1.0
60,1,26.08
60,2,52.3
60,3,1007.03
60,4,63.34
61,0,1.0
61,1,29.01
61,2,65.71
61,3,1013.61
61,4,48.07
62,0,1.0
62,1,12.18
62,2,40.1
62,3,1016.67
62,4,91.87
63,0,1.0
63,1,13.76
63,2,45.87
63,3,1008.89
63,4,87.27
64,0,1.0
64,1,25.5
64,2,58.79
64,3,1016.02
64,4,64.4
65,0,1.0
65,1,28.26
65,2,65.34
65,3,1014.56
65,4,43.4
66,0,1.0
66,1,21.39
66,2,62.96
66,3,1019.49
66,4,72.24
67,0,1.0
67,1,7.26
67,2,40.69
67,3,1020.43
67,4,90.22
68,0,1.0
68,1,10.54
68,2,34.03
68,3,1018.71
68,4,74.0
69,0,1.0
69,1,27.71
69,2,74.34
69,3,998.14
69,4,71.85
70,0,1.0
70,1,23.11
70,2,68.3
70,3,1017.83
70,4,86.62
71,0,1.0
71,1,7.51
71,2,41.01
71,3,1024.61
71,4,97.41
72,0,1.0
72,1,26.46
72,2,74.67
72,3,1016.65
72,4,84.44
73,0,1.0
73,1,29.34
73,2,74.34
73,3,998.58
73,4,81.55
74,0,1.0
74,1,10.32
74,2,42.28
74,3,1008.82
74,4,75.66
75,0,1.0
75,1,22.74
75,2,61.02
75,3,1009.56
75,4,79.41
76,0,1.0
76,1,13.48
76,2,39.85
76,3,1012.71
76,4,58.91
77,0,1.0
77,1,25.52
77,2,69.75
77,3,1010.36
77,4,90.06
78,0,1.0
78,1,21.58
78,2,67.25
78,3,1017.39
78,4,79.0
79,0,1.0
79,1,27.66
79,2,76.86
79,3,1001.31
79,4,69.47
80,0,1.0
80,1,26.96
80,2,69.45
80,3,1013.89
80,4,51.47
81,0,1.0
81,1,12.29
81,2,42.18
81,3,1016.53
81,4,83.13
82,0,1.0
82,1,15.86
82,2,43.02
82,3,1012.18
82,4,40.33
83,0,1.0
83,1,13.87
83,2,45.08
83,3,1024.42
83,4,81.69
84,0,1.0
84,1,24.09
84,2,73.68
84,3,1014.93
84,4,94.55
85,0,1.0
85,1,20.45
85,2,69.45
85,3,1012.53
85,4,91.81
86,0,1.0
86,1,15.07
86,2,39.3
86,3,1019.0
86,4,63.62
87,0,1.0
87,1,32.72
87,2,69.75
87,3,1009.6
87,4,49.35
88,0,1.0
88,1,18.23
88,2,58.96
88,3,1015.55
88,4,69.61
89,0,1.0
89,1,35.56
89,2,68.94
89,3,1006.56
89,4,38.75
90,0,1.0
90,1,18.36
90,2,51.43
90,3,1010.57
90,4,90.17
91,0,1.0
91,1,26.35
91,2,64.05
91,3,1009.81
91,4,81.24
92,0,1.0
92,1,25.92
92,2,60.95
92,3,1014.62
92,4,48.46
93,0,1.0
93,1,8.01
93,2,41.66
93,3,1014.49
93,4,76.72
94,0,1.0
94,1,19.63
94,2,52.72
94,3,1025.09
94,4,51.16
95,0,1.0
95,1,20.02
95,2,67.32
95,3,1012.05
95,4,76.34
96,0,1.0
96,1,10.08
96,2,40.72
96,3,1022.7
96,4,67.3
97,0,1.0
97,1,27.23
97,2,66.48
97,3,1005.23
97,4,52.38
98,0,1.0
98,1,23.37
98,2,63.77
98,3,1013.42
98,4,76.44
99,0,1.0
99,1,18.74
99,2,59.21
99,3,1018.3
99,4,91.55
100,0,1.0
100,1,14.81
100,2,43.69
100,3,1017.19
100,4,71.9
101,0,1.0
